"grid_cell_NE","DEM_val","roads_val","NLCD_val","NLCD_label"
301,739.233459472656,21.5574512481689,5,"forest"
302,584.377685546875,35.4168853759766,8,"fields_crops"
303,683.297485351562,19.0259952545166,5,"forest"
304,758.93603515625,22.7696418762207,5,"forest"
305,838.824462890625,29.5164203643799,5,"forest"
306,902.639892578125,19.6302928924561,5,"forest"
307,1059.390625,10.7112607955933,5,"forest"
308,1285.84582519531,1.52254092693329,5,"forest"
309,1328.58129882812,18.1444816589355,5,"forest"
310,1188.96374511719,31.1123218536377,5,"forest"
311,1004.70629882812,5.28145551681519,5,"forest"
312,910.898071289062,19.4073581695557,5,"forest"
313,845.60107421875,17.2748966217041,5,"forest"
314,893.048034667969,27.2443923950195,5,"forest"
315,1084.14453125,10.1770505905151,5,"forest"
316,1196.07556152344,20.5518436431885,7,"grassland"
317,1056.0087890625,12.3554973602295,7,"grassland"
318,933.517822265625,34.2390174865723,5,"forest"
319,961.575988769531,24.2522373199463,5,"forest"
320,1400.93823242188,10.7580299377441,5,"forest"
